countrycode	year	nationally_representative	indicator	value	se	n
AFG	2016	1	scorereadtotal	493.2585283673675	.0908037951394748	7160
AFG	2016	1	scorereadfemale	493.6275244496828	.1180145819832839	4318
AFG	2016	1	scorereadmale	492.6978932218934	.1414477721016867	2842
AFG	2016	1	scoreread_100total	24.20670391061453	.3587786236034252	7160
AFG	2016	1	scoreread_100female	25.66465956461325	.4662922868373566	4318
AFG	2016	1	scoreread_100male	21.99155524278677	.5588801317000544	2842
AGO	2011	1	scorereadtotal	489.7589087801846	.0935783687949685	4125
AGO	2011	1	scorereadfemale	489.6324103549445	.1406357902212928	1848
AGO	2011	1	scorereadmale	489.9091401428277	.127284229284555	2238
AGO	2011	1	scoreread_100total	10.37922082635128	.3697414801676193	4125
AGO	2011	1	scoreread_100female	9.879406370125809	.5556720690436358	1848
AGO	2011	1	scoreread_100male	10.97280738905565	.5029181354118483	2238
ATG	2016	1	scorereadtotal	498.3345740201418	.2863294544988236	563
ATG	2016	1	scorereadfemale	499.1997118963711	.392040139585211	276
ATG	2016	1	scorereadmale	497.5025947384718	.4110638959081663	287
ATG	2016	1	scoreread_100total	44.26287744227353	1.131328128129629	563
ATG	2016	1	scoreread_100female	47.68115942028985	1.549005979999299	276
ATG	2016	1	scoreread_100male	40.97560975609756	1.624171528959375	287
ATG	2018	1	scorereadtotal	499.6809444254409	.353439841744267	551
ATG	2018	1	scorereadfemale	500.9403897453757	.4882682643455724	272
ATG	2018	1	scorereadmale	498.4530980920279	.5005280313046973	279
ATG	2018	1	scoreread_100total	49.58257713248639	1.396490749674572	551
ATG	2018	1	scoreread_100female	54.55882352941177	1.929216896298905	272
ATG	2018	1	scoreread_100male	44.73118279569893	1.977656967647658	279
BDI	2011	1	scorereadtotal	493.2117733904545	.4205040231474962	1783
BDI	2011	1	scorereadfemale	493.277616670411	.4713527271492648	892
BDI	2011	1	scorereadmale	493.1447275057805	.4795546497973542	891
BDI	2011	1	scoreread_100total	24.0219862910762	1.661471576443064	1783
BDI	2011	1	scoreread_100female	24.28214176046788	1.862382061918863	892
BDI	2011	1	scoreread_100male	23.75707917208786	1.894789122314501	891
BDI	2012	1	scorereadtotal	491.6082048304442	.1215286777468572	1793
BDI	2012	1	scorereadfemale	491.7720233537418	.1713089646575773	924
BDI	2012	1	scorereadmale	491.4340180461783	.1722301075378329	869
BDI	2012	1	scoreread_100total	17.68606274631924	.4801770390966298	1793
BDI	2012	1	scoreread_100female	18.33333296590037	.6768660076251281	924
BDI	2012	1	scoreread_100male	16.99782605714436	.6805055825256731	869
BGD	2014	0	scorereadtotal	489.6768936167128	.084747518217283	3082
BGD	2014	0	scorereadfemale	489.6941184156445	.1184953624392304	1542
BGD	2014	0	scorereadmale	489.6596464479125	.1212319995666592	1540
BGD	2014	0	scoreread_100total	10.05515898767034	.3348494178365563	3082
BGD	2014	0	scoreread_100female	10.12321660181582	.4681919183447743	1542
BGD	2014	0	scoreread_100male	9.987012987012987	.4790047582747857	1540
BGD	2015	0	scorereadtotal	493.2957824067548	.1482974503865023	2577
BGD	2015	0	scorereadfemale	493.5738170366346	.2116049673080142	1304
BGD	2015	0	scorereadmale	493.0109770985354	.2074818568462875	1273
BGD	2015	0	scoreread_100total	24.35389988358557	.5859441783445578	2577
BGD	2015	0	scoreread_100female	25.45245398773006	.8360811219597762	1304
BGD	2015	0	scoreread_100male	23.22859387274156	.8197901300012231	1273
BGD	2016	0	scorereadtotal	494.0332817453713	.1523770484933549	2617
BGD	2016	0	scorereadfemale	494.2587953105603	.2158238324616714	1309
BGD	2016	0	scorereadmale	493.8075957691997	.2150640233516733	1308
BGD	2016	0	scoreread_100total	27.26786396637371	.6020632468414554	2617
BGD	2016	0	scoreread_100female	28.15889992360581	.8527504542346295	1309
BGD	2016	0	scoreread_100male	26.37614678899083	.8497483410931278	1308
COD	2010	0	scorereadtotal	489.1174463734396	.1339756074584703	1835
COD	2010	0	scorereadfemale	488.672465203388	.1753251725096398	871
COD	2010	0	scorereadmale	489.557536586256	.200656681225361	948
COD	2010	0	scoreread_100total	7.844703998561384	.5293565641068261	1835
COD	2010	0	scoreread_100female	6.086520513674858	.692734540660657	871
COD	2010	0	scoreread_100male	9.583562621354314	.7928229130877718	948
COD	2012	0	scorereadtotal	488.7217386122106	.2240735568749704	1103
COD	2012	0	scorereadfemale	488.6540398559455	.2966760943501723	547
COD	2012	0	scorereadmale	488.7847472505065	.2633089695340982	556
COD	2012	0	scoreread_100total	6.281206726545602	.8853463032080188	1103
COD	2012	0	scoreread_100female	6.013719371776247	1.172209194702576	547
COD	2012	0	scoreread_100male	6.530162762303257	1.040370967461292	556
COD	2015	0	scorereadtotal	487.7507550672253	.0873617946685048	2346
COD	2015	0	scorereadfemale	487.5735191571726	.1077568676286618	1090
COD	2015	0	scorereadmale	487.9189280004834	.1185955582088329	1256
COD	2015	0	scoreread_100total	2.444713448546938	.3451787934474302	2346
COD	2015	0	scoreread_100female	1.744429327559576	.4257626081844335	1090
COD	2015	0	scoreread_100male	3.109188467782525	.4685878059864026	1256
DMA	2016	1	scorereadtotal	500.2144233408382	.2888129980088197	491
DMA	2016	1	scorereadfemale	501.2361142245206	.4092617083256533	220
DMA	2016	1	scorereadmale	499.3850063872953	.3978610259951614	271
DMA	2016	1	scoreread_100total	51.69042769857434	1.141140959419412	491
DMA	2016	1	scoreread_100female	55.72727272727273	1.6170508312029	220
DMA	2016	1	scoreread_100male	48.41328413284133	1.572005124595692	271
EGY	2013	1	scorereadtotal	495.1279361520432	.2963053944894252	1985
EGY	2013	1	scorereadfemale	495.8855266544701	.349532319629336	1011
EGY	2013	1	scorereadmale	494.4228551428984	.3239026170579656	974
EGY	2013	1	scoreread_100total	31.59302658921138	1.170744994349893	1985
EGY	2013	1	scoreread_100female	34.5863751242956	1.381052149814916	1011
EGY	2013	1	scoreread_100male	28.80715057957611	1.279785571687836	974
ETH	2010	1	scorereadtotal	494.6030957933166	.3879080954603126	12906
ETH	2010	1	scorereadfemale	494.49002751662	.4521129160647306	6406
ETH	2010	1	scorereadmale	494.7179174848695	.3815352300472835	6500
ETH	2010	1	scoreread_100total	29.51928644581567	1.532680163762175	12906
ETH	2010	1	scoreread_100female	29.0725372782312	1.786362771877764	6406
ETH	2010	1	scoreread_100male	29.97296360991417	1.507499865834073	6500
GHA	2013	1	scorereadtotal	488.3196391705997	.1034069178271049	7923
GHA	2013	1	scorereadfemale	488.4023874478434	.126168171576052	3906
GHA	2013	1	scorereadmale	488.2403490892816	.1109057977207352	4017
GHA	2013	1	scoreread_100total	4.692454989354588	.4085753493231851	7923
GHA	2013	1	scoreread_100female	5.019405129480196	.4985082803560369	3906
GHA	2013	1	scoreread_100male	4.379168670140747	.438204485339047	4017
GMB	2007	1	scorereadtotal	495.0482039136907	.6790149727275285	799
GMB	2007	1	scorereadfemale	493.9881112838051	.8522291760195788	431
GMB	2007	1	scorereadmale	496.2696762672644	.6389808038521336	368
GMB	2007	1	scoreread_100total	31.27796532994929	2.682884117341211	799
GMB	2007	1	scoreread_100female	27.0893895832021	3.367277911034219	431
GMB	2007	1	scoreread_100male	36.10417516413446	2.52470347242906	368
GMB	2009	1	scorereadtotal	500.1364149668059	.6473305274322787	800
GMB	2009	1	scorereadfemale	500.5555605095752	.656400251330331	433
GMB	2009	1	scorereadmale	499.6330278188294	.8406100136169691	367
GMB	2009	1	scoreread_100total	51.38220611619727	2.557694394498543	800
GMB	2009	1	scoreread_100female	53.03830940756593	2.593530167983956	433
GMB	2009	1	scoreread_100male	49.39325233396577	3.321368934483036	367
GMB	2011	1	scorereadtotal	493.1726397986604	.7523163816577143	781
GMB	2011	1	scorereadfemale	493.1729768615147	.8253251938797116	394
GMB	2011	1	scorereadmale	493.1722958740289	.8167155195952182	387
GMB	2011	1	scoreread_100total	23.86734642802778	2.9725083575712	781
GMB	2011	1	scoreread_100female	23.86867814512164	3.260976480126388	394
GMB	2011	1	scoreread_100male	23.86598760042318	3.226958473229475	387
GMB	2013	1	scorereadtotal	23.86598760042318	3.226958473229475	387
GMB	2013	1	scorereadfemale	23.86598760042318	3.226958473229475	387
GMB	2013	1	scorereadmale	23.86598760042318	3.226958473229475	387
GMB	2013	1	scoreread_100total	23.86598760042318	3.226958473229475	387
GMB	2013	1	scoreread_100female	23.86598760042318	3.226958473229475	387
GMB	2013	1	scoreread_100male	23.86598760042318	3.226958473229475	387
GMB	2016	1	scorereadtotal	23.86598760042318	3.226958473229475	387
