cntabb,test,year,n_res,subject,grade
AFG,EGRA,2016,National,reading,2-4
AGO,EGRA,2011,National,reading,2-4
ALB,PISA,2000,National,math,8
ALB,PISA,2000,National,reading,8
ALB,PISA,2000,National,science,8
ALB,PISA,2009,National,math,8
ALB,PISA,2009,National,reading,8
ALB,PISA,2009,National,science,8
ALB,PISA,2012,National,math,8
ALB,PISA,2012,National,reading,8
ALB,PISA,2012,National,science,8
ALB,PISA,2015,National,math,8
ALB,PISA,2015,National,reading,8
ALB,PISA,2015,National,science,8
ALB,PISA,2018,National,math,8
ALB,PISA,2018,National,reading,8
ALB,PISA,2018,National,science,8
ARE,PISA,2009,National,math,8
ARE,PISA,2009,National,reading,8
ARE,PISA,2009,National,science,8
ARE,PIRLS,2011,National,reading,4
ARE,TIMSS,2011,National,math,4
ARE,TIMSS,2011,National,math,8
ARE,TIMSS,2011,National,science,4
ARE,TIMSS,2011,National,science,8
ARE,PISA,2012,National,math,8
ARE,PISA,2012,National,reading,8
ARE,PISA,2012,National,science,8
ARE,PISA,2015,National,math,8
ARE,PISA,2015,National,reading,8
ARE,PISA,2015,National,science,8
ARE,TIMSS,2015,National,math,4
ARE,TIMSS,2015,National,math,8
ARE,TIMSS,2015,National,science,4
ARE,TIMSS,2015,National,science,8
ARE,PIRLS,2016,National,reading,4
ARE,PISA,2018,National,math,8
ARE,PISA,2018,National,reading,8
ARE,PISA,2018,National,science,8
ARG,PISA,2000,National,math,8
ARG,PISA,2000,National,reading,8
ARG,PISA,2000,National,science,8
ARG,PIRLS,2001,National,reading,4
ARG,LLECE,2006,National,math,3
ARG,LLECE,2006,National,math,6
ARG,LLECE,2006,National,reading,3
ARG,LLECE,2006,National,reading,6
ARG,LLECE,2006,National,science,6
ARG,PISA,2006,National,math,8
ARG,PISA,2006,National,reading,8
ARG,PISA,2006,National,science,8
ARG,PISA,2009,National,math,8
ARG,PISA,2009,National,reading,8
ARG,PISA,2009,National,science,8
ARG,PISA,2012,National,math,8
ARG,PISA,2012,National,reading,8
ARG,PISA,2012,National,science,8
ARG,LLECE,2013,National,math,3
ARG,LLECE,2013,National,math,6
ARG,LLECE,2013,National,reading,3
ARG,LLECE,2013,National,reading,6
ARG,LLECE,2013,National,science,6
ARG,PISA,2018,National,math,8
ARG,PISA,2018,National,reading,8
ARG,PISA,2018,National,science,8
ARM,TIMSS,2003,National,math,4
ARM,TIMSS,2003,National,math,8
ARM,TIMSS,2003,National,science,4
ARM,TIMSS,2003,National,science,8
ARM,TIMSS,2007,National,math,4
ARM,TIMSS,2007,National,math,8
ARM,TIMSS,2007,National,science,4
ARM,TIMSS,2007,National,science,8
ARM,TIMSS,2011,National,math,4
ARM,TIMSS,2011,National,math,8
ARM,TIMSS,2011,National,science,4
ARM,TIMSS,2011,National,science,8
ATG,EGRA,2016,National,reading,2-4
ATG,EGRA,2018,National,reading,2-4
AUS,PISA,2000,National,math,8
AUS,PISA,2000,National,reading,8
AUS,PISA,2000,National,science,8
AUS,PISA,2003,National,math,8
AUS,PISA,2003,National,reading,8
AUS,PISA,2003,National,science,8
AUS,TIMSS,2003,National,math,4
AUS,TIMSS,2003,National,math,8
AUS,TIMSS,2003,National,science,4
AUS,TIMSS,2003,National,science,8
AUS,PISA,2006,National,math,8
AUS,PISA,2006,National,reading,8
AUS,PISA,2006,National,science,8
AUS,TIMSS,2007,National,math,4
AUS,TIMSS,2007,National,math,8
AUS,TIMSS,2007,National,science,4
AUS,TIMSS,2007,National,science,8
AUS,PISA,2009,National,math,8
AUS,PISA,2009,National,reading,8
AUS,PISA,2009,National,science,8
AUS,PIRLS,2011,National,reading,4
AUS,TIMSS,2011,National,math,4
AUS,TIMSS,2011,National,math,8
AUS,TIMSS,2011,National,science,4
AUS,TIMSS,2011,National,science,8
AUS,PISA,2012,National,math,8
AUS,PISA,2012,National,reading,8
AUS,PISA,2012,National,science,8
AUS,PISA,2015,National,math,8
AUS,PISA,2015,National,reading,8
AUS,PISA,2015,National,science,8
AUS,TIMSS,2015,National,math,4
AUS,TIMSS,2015,National,math,8
AUS,TIMSS,2015,National,science,4
AUS,TIMSS,2015,National,science,8
AUS,PIRLS,2016,National,reading,4
AUS,PISA,2018,National,math,8
AUS,PISA,2018,National,reading,8
AUS,PISA,2018,National,science,8
AUT,PISA,2000,National,math,8
AUT,PISA,2000,National,reading,8
AUT,PISA,2000,National,science,8
AUT,PISA,2003,National,math,8
AUT,PISA,2003,National,reading,8
AUT,PISA,2003,National,science,8
AUT,PIRLS,2006,National,reading,4
AUT,PISA,2006,National,math,8
AUT,PISA,2006,National,reading,8
AUT,PISA,2006,National,science,8
AUT,TIMSS,2007,National,math,4
AUT,TIMSS,2007,National,science,4
AUT,PISA,2009,National,math,8
AUT,PISA,2009,National,reading,8
AUT,PISA,2009,National,science,8
AUT,PIRLS,2011,National,reading,4
AUT,TIMSS,2011,National,math,4
AUT,TIMSS,2011,National,science,4
AUT,PISA,2012,National,math,8
AUT,PISA,2012,National,reading,8
AUT,PISA,2012,National,science,8
AUT,PISA,2015,National,math,8
AUT,PISA,2015,National,reading,8
AUT,PISA,2015,National,science,8
AUT,PIRLS,2016,National,reading,4
AUT,PISA,2018,National,math,8
AUT,PISA,2018,National,reading,8
AUT,PISA,2018,National,science,8
AZE,PISA,2006,National,math,8
AZE,PISA,2006,National,reading,8
AZE,PISA,2006,National,science,8
AZE,PISA,2009,National,math,8
AZE,PISA,2009,National,reading,8
AZE,PISA,2009,National,science,8
AZE,PIRLS,2011,National,reading,4
AZE,TIMSS,2011,National,math,4
AZE,TIMSS,2011,National,science,4
AZE,PIRLS,2016,National,reading,4
AZE,PISA,2018,Non National,math,8
AZE,PISA,2018,Non National,reading,8
AZE,PISA,2018,Non National,science,8
BDI,MLA,2000,National,math,4
BDI,PASEC,2006,National,math,5
BDI,PASEC,2006,National,reading,5
BDI,EGRA,2011,National,reading,2-4
BDI,EGRA,2012,National,reading,2-4
BDI,PASEC_2014,2014,National,math,6
BDI,PASEC_2014,2014,National,reading,6
BEL,PISA,2000,National,math,8
BEL,PISA,2000,National,reading,8
BEL,PISA,2000,National,science,8
BEL,PISA,2003,National,math,8
BEL,PISA,2003,National,reading,8
BEL,PISA,2003,National,science,8
BEL,PISA,2006,National,math,8
BEL,PISA,2006,National,reading,8
BEL,PISA,2006,National,science,8
BEL,PISA,2009,National,math,8
BEL,PISA,2009,National,reading,8
BEL,PISA,2009,National,science,8
BEL,PISA,2012,National,math,8
BEL,PISA,2012,National,reading,8
BEL,PISA,2012,National,science,8
BEL,PISA,2015,National,math,8
BEL,PISA,2015,National,reading,8
BEL,PISA,2015,National,science,8
BEL,PISA,2018,National,math,8
BEL,PISA,2018,National,reading,8
BEL,PISA,2018,National,science,8
BEN,PASEC,2006,National,math,5
BEN,PASEC,2006,National,reading,5
BEN,PASEC_2014,2014,National,math,6
BEN,PASEC_2014,2014,National,reading,6
BFA,PASEC,2006,National,math,5
BFA,PASEC,2006,National,reading,5
BFA,PASEC_2014,2014,National,math,6
BFA,PASEC_2014,2014,National,reading,6
BGD,EGRA,2014,Non National,reading,2-4
BGD,EGRA,2015,Non National,reading,2-4
BGD,EGRA,2016,Non National,reading,2-4
BGR,PISA,2000,National,math,8
BGR,PISA,2000,National,reading,8
BGR,PISA,2000,National,science,8
BGR,PIRLS,2001,National,reading,4
BGR,TIMSS,2003,National,math,8
BGR,TIMSS,2003,National,science,8
BGR,PIRLS,2006,National,reading,4
BGR,PISA,2006,National,math,8
BGR,PISA,2006,National,reading,8
BGR,PISA,2006,National,science,8
BGR,TIMSS,2007,National,math,8
BGR,TIMSS,2007,National,science,8
BGR,PISA,2009,National,math,8
BGR,PISA,2009,National,reading,8
BGR,PISA,2009,National,science,8
BGR,PIRLS,2011,National,reading,4
BGR,PISA,2012,National,math,8
BGR,PISA,2012,National,reading,8
BGR,PISA,2012,National,science,8
BGR,PISA,2015,National,math,8
BGR,PISA,2015,National,reading,8
BGR,PISA,2015,National,science,8
BGR,TIMSS,2015,National,math,4
BGR,TIMSS,2015,National,science,4
BGR,PIRLS,2016,National,reading,4
BGR,PISA,2018,National,math,8
BGR,PISA,2018,National,reading,8
BGR,PISA,2018,National,science,8
BHR,TIMSS,2003,National,math,8
BHR,TIMSS,2003,National,science,8
BHR,TIMSS,2007,National,math,8
BHR,TIMSS,2007,National,science,8
BHR,TIMSS,2011,National,math,4
BHR,TIMSS,2011,National,math,8
BHR,TIMSS,2011,National,science,4
BHR,TIMSS,2011,National,science,8
BHR,TIMSS,2015,National,math,4
BHR,TIMSS,2015,National,math,8
BHR,TIMSS,2015,National,science,4
BHR,TIMSS,2015,National,science,8
BHR,PIRLS,2016,National,reading,4
BIH,TIMSS,2007,National,math,8
BIH,TIMSS,2007,National,science,8
BIH,PISA,2018,National,math,8
BIH,PISA,2018,National,reading,8
BIH,PISA,2018,National,science,8
BLR,PISA,2018,National,math,8
BLR,PISA,2018,National,reading,8
BLR,PISA,2018,National,science,8
BLZ,PIRLS,2001,National,reading,4
BRA,PISA,2000,National,math,8
BRA,PISA,2000,National,reading,8
BRA,PISA,2000,National,science,8
BRA,PISA,2003,National,math,8
BRA,PISA,2003,National,reading,8
BRA,PISA,2003,National,science,8
BRA,LLECE,2006,National,math,3
BRA,LLECE,2006,National,math,6
BRA,LLECE,2006,National,reading,3
BRA,LLECE,2006,National,reading,6
BRA,PISA,2006,National,math,8
BRA,PISA,2006,National,reading,8
BRA,PISA,2006,National,science,8
BRA,PISA,2009,National,math,8
BRA,PISA,2009,National,reading,8
BRA,PISA,2009,National,science,8
BRA,PISA,2012,National,math,8
BRA,PISA,2012,National,reading,8
BRA,PISA,2012,National,science,8
BRA,LLECE,2013,National,math,3
BRA,LLECE,2013,National,math,6
BRA,LLECE,2013,National,reading,3
BRA,LLECE,2013,National,reading,6
BRA,LLECE,2013,National,science,6
BRA,PISA,2015,National,math,8
BRA,PISA,2015,National,reading,8
BRA,PISA,2015,National,science,8
BRA,PISA,2018,National,math,8
BRA,PISA,2018,National,reading,8
BRA,PISA,2018,National,science,8
BRN,PISA,2018,National,math,8
BRN,PISA,2018,National,reading,8
BRN,PISA,2018,National,science,8
BTN,PISA,2017,Non National,math,8
BTN,PISA,2017,Non National,reading,8
BTN,PISA,2017,Non National,science,8
BWA,MLA,2000,National,math,4
BWA,MLA,2000,National,reading,4
BWA,SACMEQ,2000,National,math,6
BWA,SACMEQ,2000,National,reading,6
BWA,TIMSS,2003,National,math,8
BWA,TIMSS,2003,National,science,8
BWA,SACMEQ,2007,National,math,6
BWA,SACMEQ,2007,National,reading,6
BWA,TIMSS,2007,National,math,8
BWA,TIMSS,2007,National,science,8
BWA,PIRLS,2011,National,reading,6
BWA,TIMSS,2011,National,math,6
BWA,TIMSS,2011,National,math,9
BWA,TIMSS,2011,National,science,6
BWA,TIMSS,2011,National,science,9
BWA,SACMEQ,2013,National,math,6
BWA,SACMEQ,2013,National,reading,6
BWA,TIMSS,2015,National,math,9
BWA,TIMSS,2015,National,science,9
CAN,PISA,2000,National,math,8
CAN,PISA,2000,National,reading,8
CAN,PISA,2000,National,science,8
CAN,PIRLS,2001,National,reading,4
CAN,PISA,2003,National,math,8
CAN,PISA,2003,National,reading,8
CAN,PISA,2003,National,science,8
CAN,PISA,2006,National,math,8
CAN,PISA,2006,National,reading,8
CAN,PISA,2006,National,science,8
CAN,PISA,2009,National,math,8
CAN,PISA,2009,National,reading,8
CAN,PISA,2009,National,science,8
CAN,PIRLS,2011,National,reading,4
CAN,PISA,2012,National,math,8
CAN,PISA,2012,National,reading,8
CAN,PISA,2012,National,science,8
CAN,PISA,2015,National,math,8
CAN,PISA,2015,National,reading,8
CAN,PISA,2015,National,science,8
CAN,TIMSS,2015,National,math,4
CAN,TIMSS,2015,National,math,8
CAN,TIMSS,2015,National,science,4
CAN,TIMSS,2015,National,science,8
CAN,PIRLS,2016,National,reading,4
CAN,PISA,2018,National,math,8
CAN,PISA,2018,National,reading,8
CAN,PISA,2018,National,science,8
CAR,EGRA,2019,Non National,reading,2-4
CHE,PISA,2000,National,math,8
CHE,PISA,2000,National,reading,8
CHE,PISA,2000,National,science,8
CHE,PISA,2003,National,math,8
CHE,PISA,2003,National,reading,8
CHE,PISA,2003,National,science,8
CHE,PISA,2006,National,math,8
CHE,PISA,2006,National,reading,8
CHE,PISA,2006,National,science,8
CHE,PISA,2009,National,math,8
CHE,PISA,2009,National,reading,8
CHE,PISA,2009,National,science,8
CHE,PISA,2012,National,math,8
CHE,PISA,2012,National,reading,8
CHE,PISA,2012,National,science,8
CHE,PISA,2015,National,math,8
CHE,PISA,2015,National,reading,8
CHE,PISA,2015,National,science,8
CHE,PISA,2018,National,math,8
CHE,PISA,2018,National,reading,8
CHE,PISA,2018,National,science,8
CHL,PISA,2000,National,math,8
CHL,PISA,2000,National,reading,8
CHL,PISA,2000,National,science,8
CHL,TIMSS,2003,National,math,8
CHL,TIMSS,2003,National,science,8
CHL,LLECE,2006,National,math,3
CHL,LLECE,2006,National,math,6
CHL,LLECE,2006,National,reading,3
CHL,LLECE,2006,National,reading,6
CHL,PISA,2006,National,math,8
CHL,PISA,2006,National,reading,8
CHL,PISA,2006,National,science,8
CHL,PISA,2009,National,math,8
CHL,PISA,2009,National,reading,8
CHL,PISA,2009,National,science,8
CHL,TIMSS,2011,National,math,4
CHL,TIMSS,2011,National,math,8
CHL,TIMSS,2011,National,science,4
CHL,TIMSS,2011,National,science,8
CHL,PISA,2012,National,math,8
CHL,PISA,2012,National,reading,8
CHL,PISA,2012,National,science,8
CHL,LLECE,2013,National,math,3
CHL,LLECE,2013,National,math,6
CHL,LLECE,2013,National,reading,3
CHL,LLECE,2013,National,reading,6
CHL,LLECE,2013,National,science,6
