cntabb,test,year,n_res,subject,grade
CHL,PISA,2015,National,math,8
CHL,PISA,2015,National,reading,8
CHL,PISA,2015,National,science,8
CHL,TIMSS,2015,National,math,4
CHL,TIMSS,2015,National,math,8
CHL,TIMSS,2015,National,science,4
CHL,TIMSS,2015,National,science,8
CHL,PIRLS,2016,National,reading,4
CHL,PISA,2018,National,math,8
CHL,PISA,2018,National,reading,8
CHL,PISA,2018,National,science,8
CHN,MLA,2000,National,math,4
CHN,MLA,2000,National,reading,4
CHN,PISA,2009,Non National,math,8
CHN,PISA,2009,Non National,reading,8
CHN,PISA,2009,Non National,science,8
CHN,NAEQ,2012,National,math,8
CHN,NAEQ,2012,National,science,8
CHN,PISA,2012,Non National,math,8
CHN,PISA,2012,Non National,reading,8
CHN,PISA,2012,Non National,science,8
CHN,PISA,2015,Non National,math,8
CHN,PISA,2015,Non National,reading,8
CHN,PISA,2015,Non National,science,8
CHN,PISA,2018,Non National,math,8
CHN,PISA,2018,Non National,reading,8
CHN,PISA,2018,Non National,science,8
CIV,PASEC,2006,National,math,5
CIV,PASEC,2006,National,reading,5
CIV,PASEC_2014,2014,National,math,6
CIV,PASEC_2014,2014,National,reading,6
CMR,PASEC,2006,National,math,5
CMR,PASEC,2006,National,reading,5
CMR,PASEC_2014,2014,National,math,6
CMR,PASEC_2014,2014,National,reading,6
COD,PASEC,2006,National,math,5
COD,PASEC,2006,National,reading,5
COD,EGRA,2010,Non National,reading,2-4
COD,EGRA,2012,Non National,reading,2-4
COD,EGRA,2015,Non National,reading,2-4
COG,PASEC,2006,National,math,5
COG,PASEC,2006,National,reading,5
COG,PASEC_2014,2014,National,math,6
COG,PASEC_2014,2014,National,reading,6
COK,PILNA,2015,National,reading,4
COK,PILNA,2018,National,reading,4
COL,PIRLS,2001,National,reading,4
COL,LLECE,2006,National,math,3
COL,LLECE,2006,National,math,6
COL,LLECE,2006,National,reading,3
COL,LLECE,2006,National,reading,6
COL,LLECE,2006,National,science,6
COL,PISA,2006,National,math,8
COL,PISA,2006,National,reading,8
COL,PISA,2006,National,science,8
COL,TIMSS,2007,National,math,4
COL,TIMSS,2007,National,math,8
COL,TIMSS,2007,National,science,4
COL,TIMSS,2007,National,science,8
COL,PISA,2009,National,math,8
COL,PISA,2009,National,reading,8
COL,PISA,2009,National,science,8
COL,PIRLS,2011,National,reading,4
COL,PISA,2012,National,math,8
COL,PISA,2012,National,reading,8
COL,PISA,2012,National,science,8
COL,LLECE,2013,National,math,3
COL,LLECE,2013,National,math,6
COL,LLECE,2013,National,reading,3
COL,LLECE,2013,National,reading,6
COL,LLECE,2013,National,science,6
COL,PISA,2015,National,math,8
COL,PISA,2015,National,reading,8
COL,PISA,2015,National,science,8
COL,PISA,2018,National,math,8
COL,PISA,2018,National,reading,8
COL,PISA,2018,National,science,8
COM,PASEC,2006,National,math,5
COM,PASEC,2006,National,reading,5
CRI,LLECE,2006,National,math,3
CRI,LLECE,2006,National,math,6
CRI,LLECE,2006,National,reading,3
CRI,LLECE,2006,National,reading,6
CRI,PISA,2009,National,math,8
CRI,PISA,2009,National,reading,8
CRI,PISA,2009,National,science,8
CRI,PISA,2012,National,math,8
CRI,PISA,2012,National,reading,8
CRI,PISA,2012,National,science,8
CRI,LLECE,2013,National,math,3
CRI,LLECE,2013,National,math,6
CRI,LLECE,2013,National,reading,3
CRI,LLECE,2013,National,reading,6
CRI,LLECE,2013,National,science,6
CRI,PISA,2015,National,math,8
CRI,PISA,2015,National,reading,8
CRI,PISA,2015,National,science,8
CRI,PISA,2018,National,math,8
CRI,PISA,2018,National,reading,8
CRI,PISA,2018,National,science,8
CUB,LLECE,2006,National,math,3
CUB,LLECE,2006,National,math,6
CUB,LLECE,2006,National,reading,3
CUB,LLECE,2006,National,reading,6
CUB,LLECE,2006,National,science,6
CYP,PIRLS,2001,National,reading,4
CYP,TIMSS,2003,National,math,4
CYP,TIMSS,2003,National,math,8
CYP,TIMSS,2003,National,science,4
CYP,TIMSS,2003,National,science,8
CYP,TIMSS,2007,National,math,8
CYP,TIMSS,2007,National,science,8
CYP,TIMSS,2015,National,math,4
CYP,TIMSS,2015,National,science,4
CZE,PISA,2000,National,math,8
CZE,PISA,2000,National,reading,8
CZE,PISA,2000,National,science,8
CZE,PIRLS,2001,National,reading,4
CZE,PISA,2003,National,math,8
CZE,PISA,2003,National,reading,8
CZE,PISA,2003,National,science,8
CZE,PISA,2006,National,math,8
CZE,PISA,2006,National,reading,8
CZE,PISA,2006,National,science,8
CZE,TIMSS,2007,National,math,4
CZE,TIMSS,2007,National,math,8
CZE,TIMSS,2007,National,science,4
CZE,TIMSS,2007,National,science,8
CZE,PISA,2009,National,math,8
CZE,PISA,2009,National,reading,8
CZE,PISA,2009,National,science,8
CZE,PIRLS,2011,National,reading,4
CZE,TIMSS,2011,National,math,4
CZE,TIMSS,2011,National,science,4
CZE,PISA,2012,National,math,8
CZE,PISA,2012,National,reading,8
CZE,PISA,2012,National,science,8
CZE,PISA,2015,National,math,8
CZE,PISA,2015,National,reading,8
CZE,PISA,2015,National,science,8
CZE,TIMSS,2015,National,math,4
CZE,TIMSS,2015,National,science,4
CZE,PIRLS,2016,National,reading,4
CZE,PISA,2018,National,math,8
CZE,PISA,2018,National,reading,8
CZE,PISA,2018,National,science,8
DEU,PISA,2000,National,math,8
DEU,PISA,2000,National,reading,8
DEU,PISA,2000,National,science,8
DEU,PIRLS,2001,National,reading,4
DEU,PISA,2003,National,math,8
DEU,PISA,2003,National,reading,8
DEU,PISA,2003,National,science,8
DEU,PIRLS,2006,National,reading,4
DEU,PISA,2006,National,math,8
DEU,PISA,2006,National,reading,8
DEU,PISA,2006,National,science,8
DEU,TIMSS,2007,National,math,4
DEU,TIMSS,2007,National,science,4
DEU,PISA,2009,National,math,8
DEU,PISA,2009,National,reading,8
DEU,PISA,2009,National,science,8
DEU,PIRLS,2011,National,reading,4
DEU,TIMSS,2011,National,math,4
DEU,TIMSS,2011,National,science,4
DEU,PISA,2012,National,math,8
DEU,PISA,2012,National,reading,8
DEU,PISA,2012,National,science,8
DEU,PISA,2015,National,math,8
DEU,PISA,2015,National,reading,8
DEU,PISA,2015,National,science,8
DEU,TIMSS,2015,National,math,4
DEU,TIMSS,2015,National,science,4
DEU,PIRLS,2016,National,reading,4
DEU,PISA,2018,National,math,8
DEU,PISA,2018,National,reading,8
DEU,PISA,2018,National,science,8
DMA,EGRA,2016,National,reading,2-4
DMA,EGRA,2018,National,reading,2-4
DNK,PISA,2000,National,math,8
DNK,PISA,2000,National,reading,8
DNK,PISA,2000,National,science,8
DNK,PISA,2003,National,math,8
DNK,PISA,2003,National,reading,8
DNK,PISA,2003,National,science,8
DNK,PIRLS,2006,National,reading,4
DNK,PISA,2006,National,math,8
DNK,PISA,2006,National,reading,8
DNK,PISA,2006,National,science,8
DNK,TIMSS,2007,National,math,4
DNK,TIMSS,2007,National,science,4
DNK,PISA,2009,National,math,8
DNK,PISA,2009,National,reading,8
DNK,PISA,2009,National,science,8
DNK,PIRLS,2011,National,reading,4
DNK,TIMSS,2011,National,math,4
DNK,TIMSS,2011,National,science,4
DNK,PISA,2012,National,math,8
DNK,PISA,2012,National,reading,8
DNK,PISA,2012,National,science,8
DNK,PISA,2015,National,math,8
DNK,PISA,2015,National,reading,8
DNK,PISA,2015,National,science,8
DNK,TIMSS,2015,National,math,4
DNK,TIMSS,2015,National,science,4
DNK,PIRLS,2016,National,reading,4
DNK,PISA,2018,National,math,8
DNK,PISA,2018,National,reading,8
DNK,PISA,2018,National,science,8
DOM,LLECE,2006,National,math,3
DOM,LLECE,2006,National,math,6
DOM,LLECE,2006,National,reading,3
DOM,LLECE,2006,National,reading,6
DOM,LLECE,2006,National,science,6
DOM,LLECE,2013,National,math,3
DOM,LLECE,2013,National,math,6
DOM,LLECE,2013,National,reading,3
DOM,LLECE,2013,National,reading,6
DOM,LLECE,2013,National,science,6
DOM,PISA,2015,National,math,8
DOM,PISA,2015,National,reading,8
DOM,PISA,2015,National,science,8
DOM,PISA,2018,National,math,8
DOM,PISA,2018,National,reading,8
DOM,PISA,2018,National,science,8
DZA,TIMSS,2007,National,math,4
DZA,TIMSS,2007,National,math,8
DZA,TIMSS,2007,National,science,4
DZA,TIMSS,2007,National,science,8
DZA,PISA,2015,National,math,8
DZA,PISA,2015,National,reading,8
DZA,PISA,2015,National,science,8
ECU,LLECE,2006,National,math,3
ECU,LLECE,2006,National,math,6
ECU,LLECE,2006,National,reading,3
ECU,LLECE,2006,National,reading,6
ECU,LLECE,2013,National,math,3
ECU,LLECE,2013,National,math,6
ECU,LLECE,2013,National,reading,3
ECU,LLECE,2013,National,reading,6
ECU,LLECE,2013,National,science,6
ECU,PISA,2017,National,math,8
ECU,PISA,2017,National,reading,8
ECU,PISA,2017,National,science,8
EGY,TIMSS,2003,National,math,8
EGY,TIMSS,2003,National,science,8
EGY,TIMSS,2007,National,math,8
EGY,TIMSS,2007,National,science,8
EGY,EGRA,2013,National,reading,2-4
EGY,TIMSS,2015,National,math,8
EGY,TIMSS,2015,National,science,8
EGY,PIRLS,2016,National,reading,4
ENG,PIRLS,2001,National,reading,5
ENG,TIMSS,2003,National,math,4
ENG,TIMSS,2003,National,math,8
ENG,TIMSS,2003,National,science,4
ENG,TIMSS,2003,National,science,8
ENG,PIRLS,2006,National,reading,4
ENG,TIMSS,2007,National,math,4
ENG,TIMSS,2007,National,math,8
ENG,TIMSS,2007,National,science,4
ENG,TIMSS,2007,National,science,8
ENG,PIRLS,2011,National,reading,5
ENG,TIMSS,2011,National,math,5
ENG,TIMSS,2011,National,math,9
ENG,TIMSS,2011,National,science,5
ENG,TIMSS,2011,National,science,9
ENG,TIMSS,2015,National,math,4
ENG,TIMSS,2015,National,math,8
ENG,TIMSS,2015,National,science,4
ENG,TIMSS,2015,National,science,8
ENG,PIRLS,2016,National,reading,4
ERI,MLA,2000,National,math,4
ERI,MLA,2000,National,reading,4
ESP,PISA,2000,National,math,8
ESP,PISA,2000,National,reading,8
ESP,PISA,2000,National,science,8
ESP,PISA,2003,National,math,8
ESP,PISA,2003,National,reading,8
ESP,PISA,2003,National,science,8
ESP,PIRLS,2006,National,reading,4
ESP,PISA,2006,National,math,8
ESP,PISA,2006,National,reading,8
ESP,PISA,2006,National,science,8
ESP,PISA,2009,National,math,8
ESP,PISA,2009,National,reading,8
ESP,PISA,2009,National,science,8
ESP,PIRLS,2011,National,reading,4
ESP,TIMSS,2011,National,math,4
ESP,TIMSS,2011,National,science,4
ESP,PISA,2012,National,math,8
ESP,PISA,2012,National,reading,8
ESP,PISA,2012,National,science,8
ESP,PISA,2015,National,math,8
ESP,PISA,2015,National,reading,8
ESP,PISA,2015,National,science,8
ESP,TIMSS,2015,National,math,4
ESP,TIMSS,2015,National,science,4
ESP,PIRLS,2016,National,reading,4
ESP,PISA,2018,National,math,8
ESP,PISA,2018,National,science,8
EST,TIMSS,2003,National,math,8
EST,TIMSS,2003,National,science,8
EST,PISA,2006,National,math,8
EST,PISA,2006,National,reading,8
EST,PISA,2006,National,science,8
EST,PISA,2009,National,math,8
EST,PISA,2009,National,reading,8
EST,PISA,2009,National,science,8
EST,PISA,2012,National,math,8
EST,PISA,2012,National,reading,8
EST,PISA,2012,National,science,8
EST,PISA,2015,National,math,8
EST,PISA,2015,National,reading,8
EST,PISA,2015,National,science,8
EST,PISA,2018,National,math,8
EST,PISA,2018,National,reading,8
EST,PISA,2018,National,science,8
ETH,EGRA,2010,Non National,reading,2-4
ETH,EGRA,2018,Non National,reading,2-4
FIN,PISA,2000,National,math,8
FIN,PISA,2000,National,reading,8
FIN,PISA,2000,National,science,8
FIN,PISA,2003,National,math,8
FIN,PISA,2003,National,reading,8
FIN,PISA,2003,National,science,8
FIN,PISA,2006,National,math,8
FIN,PISA,2006,National,reading,8
FIN,PISA,2006,National,science,8
FIN,PISA,2009,National,math,8
FIN,PISA,2009,National,reading,8
FIN,PISA,2009,National,science,8
FIN,PIRLS,2011,National,reading,4
FIN,TIMSS,2011,National,math,4
FIN,TIMSS,2011,National,math,8
FIN,TIMSS,2011,National,science,4
FIN,TIMSS,2011,National,science,8
FIN,PISA,2012,National,math,8
FIN,PISA,2012,National,reading,8
FIN,PISA,2012,National,science,8
FIN,PISA,2015,National,math,8
FIN,PISA,2015,National,reading,8
FIN,PISA,2015,National,science,8
FIN,TIMSS,2015,National,math,4
FIN,TIMSS,2015,National,science,4
FIN,PIRLS,2016,National,reading,4
FIN,PISA,2018,National,math,8
FIN,PISA,2018,National,reading,8
FIN,PISA,2018,National,science,8
FJI,PILNA,2018,National,reading,4
FRA,PISA,2000,National,math,8
FRA,PISA,2000,National,reading,8
FRA,PISA,2000,National,science,8
FRA,PIRLS,2001,National,reading,4
FRA,PISA,2003,National,math,8
FRA,PISA,2003,National,reading,8
FRA,PISA,2003,National,science,8
FRA,PIRLS,2006,National,reading,4
FRA,PISA,2006,National,math,8
FRA,PISA,2006,National,reading,8
FRA,PISA,2006,National,science,8
FRA,PISA,2009,National,math,8
FRA,PISA,2009,National,reading,8
FRA,PISA,2009,National,science,8
FRA,PIRLS,2011,National,reading,4
FRA,PISA,2012,National,math,8
FRA,PISA,2012,National,reading,8
FRA,PISA,2012,National,science,8
FRA,PISA,2015,National,math,8
FRA,PISA,2015,National,reading,8
FRA,PISA,2015,National,science,8
FRA,TIMSS,2015,National,math,4
FRA,TIMSS,2015,National,science,4
FRA,PIRLS,2016,National,reading,4
FRA,PISA,2018,National,math,8
FRA,PISA,2018,National,reading,8
FRA,PISA,2018,National,science,8
FSM,PILNA,2015,National,reading,4
FSM,PILNA,2018,National,reading,4
GAB,PASEC,2006,National,math,5
GAB,PASEC,2006,National,reading,5
GBR,PISA,2000,National,math,8
GBR,PISA,2000,National,reading,8
GBR,PISA,2000,National,science,8
GBR,PISA,2003,National,math,8
GBR,PISA,2003,National,reading,8
GBR,PISA,2003,National,science,8
GBR,PISA,2006,National,math,8
GBR,PISA,2006,National,reading,8
